ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TX_10022,2025-07-28 06:29:00,CLI_196,Biografia,Livros,352.8,4,Curitiba/PR/Brasil,Pix,Cancelado
TX_10023,2025-12-11 22:18:00,CLI_761,História,Livros,357.99,4,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10024,2025-04-08 18:18:00,CLI_559,Notebook,Eletrônicos,,2,Rio de Janeiro/RJ/Brasil,Pix,Cancelado
TX_10025,2025-10-09 03:20:00,CLI_151,Camiseta,Vestuário,2287.72,5,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10026,2025-09-06 16:25:00,CLI_318,Calça Jeans,Vestuário,3028.31,1,Curitiba/PR/Brasil,Cartão de Crédito,Cancelado
TX_10027,2025-08-21 09:44:00,CLI_533,Smartwatch,Eletrônicos,2442.62,5,Bom Despacho/MG/Brasil,Boleto Bancário,Cancelado
TX_10028,2025-04-22 01:59:00,CLI_693,Calça Jeans,Vestuário,2579.04,1,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10029,2025-09-02 17:09:00,CLI_973,Smartphone,Eletrônicos,1865.97,1,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10030,2025-02-04 23:02:00,CLI_982,Camiseta,Vestuário,834.69,1,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10031,2025-12-03 19:55:00,CLI_678,Smartphone,Eletrônicos,1836.9,3,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10032,2025-03-09 22:55:00,CLI_760,Tênis,Vestuário,1060.49,3,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10033,2025-10-03 07:16:00,CLI_618,Ficção Científica,Livros,939.22,3,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10034,2025-08-13 18:32:00,CLI_820,Cafeteira,Casa,1069.27,5,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,
TX_10035,2025-05-16 03:56:00,CLI_209,Luminária,Casa,2602.32,2,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10036,2025-12-18 21:38:00,CLI_973,Tênis,Vestuário,934.98,4,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10037,2025-01-23 00:07:00,CLI_441,Smartwatch,Eletrônicos,2702.35,3,Bom Despacho/MG/Brasil,Cartão de Crédito,Cancelado
TX_10038,2025-02-08 23:35:00,CLI_252,Ficção Científica,Livros,1916.38,3,São Paulo/SP/Brasil,Boleto Bancário,Em Processamento
TX_10039,2025-01-22 10:31:00,CLI_473,Jaqueta,Vestuário,3147.95,1,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10040,2026-02-04 19:06:00,CLI_995,Camiseta,Vestuário,1431.23,5,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10041,2025-07-31 00:50:00,CLI_283,Calça Jeans,Vestuário,2581.93,3,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10042,2025-07-15 01:19:00,CLI_979,Jogo de Cama,Casa,1655.35,2,São Paulo/SP/Brasil,Pix,Concluído
TX_10043,2025-01-13 22:31:00,CLI_297,Jogo de Cama,Casa,1403.65,3,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10044,2025-06-19 00:56:00,CLI_218,Cadeira Escritório,Casa,3071.48,3,Salvador/BA/Brasil,Cartão de Crédito,Em Processamento
TX_10045,2025-11-02 14:49:00,CLI_453,Luminária,Casa,2553.98,3,São Paulo/SP/Brasil,Pix,Em Processamento
TX_10046,2025-04-08 08:41:00,CLI_145,Smartwatch,Eletrônicos,2485.12,1,Salvador/BA/Brasil,Boleto Bancário,Em Processamento
TX_10047,2025-02-05 22:40:00,CLI_438,Tênis,Vestuário,2186.7,1,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10048,2025-07-26 23:47:00,CLI_402,Cadeira Escritório,Casa,1947.13,2,Bom Despacho/MG/Brasil,Pix,Cancelado
TX_10049,2025-10-08 00:00:00,CLI_411,Tênis,Vestuário,1014.89,4,Curitiba/PR/Brasil,Boleto Bancário,Em Processamento
TX_10050,2025-08-15 23:03:00,CLI_318,Cadeira Escritório,Casa,1796.44,2,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10051,2026-01-20 08:01:00,CLI_788,Cafeteira,Casa,1096.81,2,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10052,2025-11-09 02:29:00,CLI_566,Notebook,Eletrônicos,1459.33,5,Curitiba/PR/Brasil,Cartão de Crédito,Cancelado
TX_10053,2025-03-17 22:23:00,CLI_804,História,Livros,34.32,1,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10054,2025-10-13 08:30:00,CLI_968,Jaqueta,Vestuário,437.93,2,São Paulo/SP/Brasil,Pix,Em Processamento
TX_10055,2026-01-04 17:13:00,CLI_536,Cadeira Escritório,Casa,2909.53,5,Salvador/BA/Brasil,Pix,Concluído
TX_10056,2026-01-20 08:26:00,CLI_960,História,Livros,2237.25,5,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10057,2026-01-01 09:45:00,CLI_340,Cadeira Escritório,Casa,961.93,3,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10058,2025-07-16 23:41:00,CLI_256,Calça Jeans,Vestuário,2476.87,1,Rio de Janeiro/RJ/Brasil,Pix,Cancelado
TX_10059,2025-02-01 07:03:00,CLI_952,Cadeira Escritório,Casa,1479.2,5,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10060,2025-06-30 10:11:00,CLI_871,História,Livros,1374.1,4,São Paulo/SP/Brasil,Boleto Bancário,Em Processamento
TX_10061,2025-05-20 14:52:00,CLI_597,Jaqueta,Vestuário,116.15,3,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Cancelado
TX_10062,2025-11-15 18:13:00,CLI_127,Jaqueta,Vestuário,3175.65,5,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10063,2025-08-25 06:12:00,CLI_151,Smartwatch,Eletrônicos,921.64,3,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Cancelado
TX_10064,2025-05-23 14:23:00,CLI_358,Cafeteira,Casa,2924.66,4,Curitiba/PR/Brasil,Cartão de Crédito,Em Processamento
TX_10065,2025-11-29 02:20:00,CLI_899,Fone de Ouvido,Eletrônicos,3351.14,1,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10066,2025-03-20 08:08:00,CLI_229,Camiseta,Vestuário,1665.36,1,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10067,2025-03-27 20:40:00,CLI_721,Desenvolvimento Pessoal,Livros,3373.62,1,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10068,2025-10-22 23:07:00,CLI_484,Smartphone,Eletrônicos,1397.34,2,Bom Despacho/MG/Brasil,Cartão de Crédito,Em Processamento
TX_10069,2025-12-17 20:29:00,CLI_924,Camiseta,Vestuário,436.88,5,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10070,2025-09-17 22:06:00,CLI_449,Desenvolvimento Pessoal,Livros,59.09,4,São Paulo/SP/Brasil,Pix,Concluído
TX_10071,2025-12-29 05:13:00,CLI_545,Desenvolvimento Pessoal,Livros,628.84,5,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10072,2026-01-10 20:13:00,CLI_374,História,Livros,1138.23,2,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10073,2025-10-19 20:49:00,CLI_784,Biografia,Livros,1335.78,1,Curitiba/PR/Brasil,Pix,Concluído
TX_10074,2025-07-01 08:49:00,CLI_448,Jaqueta,Vestuário,989.61,5,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10075,2025-05-04 13:52:00,CLI_600,Notebook,Eletrônicos,1949.79,2,São Paulo/SP/Brasil,Boleto Bancário,Cancelado
TX_10076,2025-02-17 10:02:00,CLI_326,História,Livros,1424.34,2,São Paulo/SP/Brasil,Pix,Em Processamento
TX_10077,2025-09-29 11:44:00,CLI_535,Cadeira Escritório,Casa,3488.26,5,Salvador/BA/Brasil,Pix,Concluído
TX_10078,2025-05-09 07:52:00,CLI_223,Desenvolvimento Pessoal,Livros,2528.68,3,Bom Despacho/MG/Brasil,Cartão de Crédito,Em Processamento
TX_10079,2026-01-14 16:31:00,CLI_383,Calça Jeans,Vestuário,2540.18,5,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10080,2025-04-27 12:19:00,CLI_283,Notebook,Eletrônicos,,5,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10081,2025-05-30 23:48:00,CLI_229,Smartphone,Eletrônicos,2237.98,4,Salvador/BA/Brasil,Cartão de Crédito,Concluído
TX_10082,2025-08-14 11:37:00,CLI_288,Cadeira Escritório,Casa,3379.76,3,Curitiba/PR/Brasil,Pix,Concluído
TX_10083,2025-02-07 19:41:00,CLI_744,Smartwatch,Eletrônicos,2407.28,2,Curitiba/PR/Brasil,Cartão de Crédito,Em Processamento
TX_10084,2025-03-02 19:02:00,CLI_882,Luminária,Casa,1465.37,5,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10085,2025-06-02 20:05:00,CLI_539,História,Livros,1079.25,5,Curitiba/PR/Brasil,Cartão de Crédito,Em Processamento
TX_10086,2025-05-16 22:32:00,CLI_183,Notebook,Eletrônicos,562.34,2,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10087,2025-08-19 23:31:00,CLI_708,Camiseta,Vestuário,1652.64,1,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10088,2025-12-18 07:58:00,CLI_370,Cadeira Escritório,Casa,2760.58,5,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10089,2025-04-26 22:06:00,CLI_252,Ficção Científica,Livros,3180.81,2,Salvador/BA/Brasil,Cartão de Crédito,Concluído
TX_10090,2026-01-19 19:25:00,CLI_395,Tênis,Vestuário,1545.45,4,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10091,2025-10-04 16:51:00,CLI_548,Desenvolvimento Pessoal,Livros,295.34,1,Salvador/BA/Brasil,Pix,Concluído
TX_10092,2025-04-28 23:00:00,CLI_956,Luminária,Casa,3013.9,5,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10093,2025-09-23 22:14:00,CLI_552,Notebook,Eletrônicos,3207.51,2,Curitiba/PR/Brasil,Boleto Bancário,Cancelado
TX_10094,2025-06-28 13:56:00,CLI_441,Ficção Científica,Livros,1133.89,1,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10095,2025-12-06 13:40:00,CLI_933,História,Livros,2665.34,1,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10096,2025-03-01 13:47:00,CLI_985,Cafeteira,Casa,1808.37,1,Bom Despacho/MG/Brasil,Boleto Bancário,Em Processamento
TX_10097,2025-04-07 17:41:00,CLI_470,História,Livros,2184.88,4,São Paulo/SP/Brasil,Boleto Bancário,Cancelado
TX_10098,2025-10-09 04:28:00,CLI_394,Notebook,Eletrônicos,1541.83,4,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10099,2025-10-10 00:28:00,CLI_665,Calça Jeans,Vestuário,1436.85,2,Bom Despacho/MG/Brasil,Cartão de Crédito,Cancelado
TX_10100,2026-01-02 09:57:00,CLI_621,Notebook,Eletrônicos,2473.36,4,Curitiba/PR/Brasil,Pix,Cancelado
TX_10101,2025-03-16 13:05:00,CLI_295,Jaqueta,Vestuário,3227.71,5,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10102,2025-06-24 17:19:00,CLI_373,Fone de Ouvido,Eletrônicos,2874.61,3,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10103,2025-10-03 16:31:00,CLI_453,Biografia,Livros,1173.55,5,Curitiba/PR/Brasil,Pix,Cancelado
TX_10104,2025-10-20 13:04:00,CLI_339,Jogo de Cama,Casa,2998.21,4,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10105,2025-12-06 22:15:00,CLI_255,História,Livros,1741.22,1,Curitiba/PR/Brasil,Cartão de Crédito,Em Processamento
TX_10106,2025-02-21 17:57:00,CLI_567,Luminária,Casa,68.49,2,Curitiba/PR/Brasil,Pix,Concluído
TX_10107,2025-06-23 21:16:00,CLI_809,Smartwatch,Eletrônicos,1400.23,1,Bom Despacho/MG/Brasil,Pix,Em Processamento
TX_10108,2025-10-05 01:13:00,CLI_732,Desenvolvimento Pessoal,Livros,253.45,3,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10109,2025-08-16 05:40:00,CLI_810,Ficção Científica,Livros,1058.64,1,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10110,2025-07-11 14:42:00,CLI_249,Fone de Ouvido,Eletrônicos,866.03,4,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10111,2025-11-09 13:03:00,CLI_734,Calça Jeans,Vestuário,2395.72,4,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10112,2025-08-24 08:42:00,CLI_782,Jaqueta,Vestuário,47.75,4,Bom Despacho/MG/Brasil,Pix,Em Processamento
TX_10113,2025-06-26 20:03:00,CLI_406,Camiseta,Vestuário,2241.7,4,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10114,2025-07-16 16:29:00,CLI_209,Desenvolvimento Pessoal,Livros,841.66,5,Rio de Janeiro/RJ/Brasil,Pix,Em Processamento
TX_10115,2025-12-04 13:30:00,CLI_381,Cafeteira,Casa,43.22,1,São Paulo/SP/Brasil,Boleto Bancário,Cancelado
TX_10116,2025-06-30 07:28:00,CLI_751,Jogo de Cama,Casa,677.61,3,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10117,2025-08-14 01:08:00,CLI_693,Smartphone,Eletrônicos,1286.54,2,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10118,2025-04-13 04:30:00,CLI_905,Cadeira Escritório,Casa,1894.84,3,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Em Processamento
TX_10119,2025-09-04 10:04:00,CLI_864,Jogo de Cama,Casa,3048.33,1,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10120,2025-10-13 12:29:00,CLI_192,Calça Jeans,Vestuário,2770.53,1,Curitiba/PR/Brasil,Pix,Em Processamento
TX_10121,2025-12-11 22:56:00,CLI_368,Smartwatch,Eletrônicos,2052.19,3,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10122,2025-10-15 11:11:00,CLI_724,Ficção Científica,Livros,786.46,1,Salvador/BA/Brasil,Boleto Bancário,Cancelado
TX_10123,2025-03-13 01:32:00,CLI_138,Cadeira Escritório,Casa,1075.71,4,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10124,2025-08-21 12:39:00,CLI_786,Calça Jeans,Vestuário,3323.59,5,Curitiba/PR/Brasil,Pix,Em Processamento
TX_10125,2025-09-08 21:00:00,CLI_517,Jaqueta,Vestuário,3287.6,3,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10126,2025-05-01 12:22:00,CLI_201,Jaqueta,Vestuário,3433.53,3,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10127,2025-04-08 04:10:00,CLI_968,Smartwatch,Eletrônicos,2887.31,1,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10128,2025-05-05 04:17:00,CLI_905,Smartphone,Eletrônicos,1982.55,1,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10129,2026-02-01 05:02:00,CLI_907,Calça Jeans,Vestuário,3153.35,1,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10130,2025-02-26 22:33:00,CLI_987,Tênis,Vestuário,104.84,1,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10131,2025-05-16 01:47:00,CLI_229,Luminária,Casa,2599.89,5,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10132,2025-09-20 20:15:00,CLI_211,História,Livros,1590.24,2,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10133,2025-02-01 16:20:00,CLI_967,Cadeira Escritório,Casa,1414.64,1,São Paulo/SP/Brasil,Pix,Cancelado
TX_10134,2025-11-08 05:03:00,CLI_167,Smartphone,Eletrônicos,454.78,5,Bom Despacho/MG/Brasil,Boleto Bancário,Em Processamento
TX_10135,2025-09-29 10:03:00,CLI_564,Cadeira Escritório,Casa,1776.85,4,Salvador/BA/Brasil,Cartão de Crédito,Concluído
TX_10136,2025-04-27 14:07:00,CLI_447,Jaqueta,Vestuário,2898.56,4,Curitiba/PR/Brasil,Pix,Concluído
TX_10137,2025-12-07 08:42:00,CLI_483,Cadeira Escritório,Casa,3338.27,4,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10138,2025-02-19 12:43:00,CLI_931,Smartphone,Eletrônicos,468.45,1,Curitiba/PR/Brasil,Boleto Bancário,Em Processamento
TX_10139,2025-07-01 22:42:00,CLI_868,Luminária,Casa,1488.93,1,Curitiba/PR/Brasil,Pix,Em Processamento
TX_10140,2025-10-23 17:19:00,CLI_317,Cafeteira,Casa,554.23,4,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10141,2026-01-26 09:30:00,CLI_687,Cafeteira,Casa,803.16,4,São Paulo/SP/Brasil,Boleto Bancário,Em Processamento
TX_10142,2025-04-03 09:19:00,CLI_819,Fone de Ouvido,Eletrônicos,2672.0,3,São Paulo/SP/Brasil,Pix,Concluído
TX_10143,2025-12-03 13:40:00,CLI_171,Calça Jeans,Vestuário,509.43,1,Salvador/BA/Brasil,Cartão de Crédito,Em Processamento
TX_10144,2025-08-21 11:38:00,CLI_261,Jaqueta,Vestuário,1304.64,3,Curitiba/PR/Brasil,Boleto Bancário,Em Processamento
TX_10145,2025-03-22 21:05:00,CLI_150,Smartphone,Eletrônicos,2363.78,3,Rio de Janeiro/RJ/Brasil,Pix,Cancelado
TX_10146,2025-05-20 07:21:00,CLI_873,História,Livros,1800.53,3,Curitiba/PR/Brasil,Pix,Concluído
TX_10147,2025-12-08 10:31:00,CLI_146,Cadeira Escritório,Casa,783.51,5,Salvador/BA/Brasil,Cartão de Crédito,Concluído
TX_10148,2026-01-28 04:41:00,CLI_882,Tênis,Vestuário,905.49,3,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10149,2025-03-08 12:58:00,CLI_645,História,Livros,2467.29,5,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Concluído
TX_10150,2025-08-12 00:38:00,CLI_570,Smartwatch,Eletrônicos,3225.25,3,São Paulo/SP/Brasil,Boleto Bancário,Cancelado
TX_10151,2025-02-28 13:49:00,CLI_121,História,Livros,3382.21,2,Bom Despacho/MG/Brasil,Boleto Bancário,Cancelado
TX_10152,2025-02-24 08:18:00,CLI_546,Luminária,Casa,2067.22,5,Curitiba/PR/Brasil,Cartão de Crédito,Cancelado
TX_10153,2025-06-20 05:44:00,CLI_178,Cafeteira,Casa,1794.03,1,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Em Processamento
TX_10154,2026-01-08 22:01:00,CLI_934,Tênis,Vestuário,529.7,1,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10155,2025-03-20 22:22:00,CLI_177,Calça Jeans,Vestuário,632.35,4,Salvador/BA/Brasil,Pix,Em Processamento
TX_10156,2025-03-19 15:00:00,CLI_169,Desenvolvimento Pessoal,Livros,1649.19,3,Bom Despacho/MG/Brasil,Pix,Em Processamento
TX_10157,2025-02-07 10:35:00,CLI_572,Fone de Ouvido,Eletrônicos,1589.92,1,Salvador/BA/Brasil,Pix,Concluído
TX_10158,2025-11-01 17:18:00,CLI_493,Smartphone,Eletrônicos,1627.55,5,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10159,2025-11-06 16:14:00,CLI_613,Biografia,Livros,540.75,1,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10160,2025-11-27 05:53:00,CLI_140,Luminária,Casa,878.39,4,Salvador/BA/Brasil,Pix,Em Processamento
TX_10161,2025-05-25 13:13:00,CLI_518,Tênis,Vestuário,2714.01,5,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10162,2025-10-13 23:09:00,CLI_495,Fone de Ouvido,Eletrônicos,1005.25,5,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10163,2025-06-08 22:23:00,CLI_815,Notebook,Eletrônicos,2322.54,2,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10164,2025-03-07 22:52:00,CLI_819,Cadeira Escritório,Casa,2903.92,5,Bom Despacho/MG/Brasil,Cartão de Crédito,Cancelado
TX_10165,2025-06-08 06:09:00,CLI_319,Luminária,Casa,1205.94,4,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10166,2025-06-01 03:27:00,CLI_619,Calça Jeans,Vestuário,2701.5,5,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10167,2025-03-25 06:10:00,CLI_951,Jaqueta,Vestuário,2429.57,5,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Cancelado
TX_10168,2025-12-13 08:06:00,CLI_554,Smartwatch,Eletrônicos,2142.93,4,Bom Despacho/MG/Brasil,Cartão de Crédito,Em Processamento
TX_10169,2025-04-10 12:33:00,CLI_794,Tênis,Vestuário,,4,Curitiba/PR/Brasil,Pix,Concluído
TX_10170,2025-04-13 20:38:00,CLI_241,História,Livros,3057.41,1,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Cancelado
TX_10171,2025-03-05 09:43:00,CLI_185,Luminária,Casa,2674.46,3,Salvador/BA/Brasil,Pix,Em Processamento
TX_10172,2025-04-24 15:23:00,CLI_457,Jaqueta,Vestuário,3257.69,4,São Paulo/SP/Brasil,Cartão de Crédito,Cancelado
TX_10173,2025-02-11 12:47:00,CLI_329,Jogo de Cama,Casa,113.23,1,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10174,2025-05-27 16:07:00,CLI_812,Calça Jeans,Vestuário,2911.42,4,São Paulo/SP/Brasil,Pix,Em Processamento
TX_10175,2025-05-12 07:21:00,CLI_955,Smartphone,Eletrônicos,536.08,5,São Paulo/SP/Brasil,Boleto Bancário,Cancelado
TX_10176,2025-06-04 04:09:00,CLI_148,Fone de Ouvido,Eletrônicos,845.96,5,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10177,2025-10-02 00:33:00,CLI_747,Smartwatch,Eletrônicos,1811.08,2,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10178,2025-11-11 12:02:00,CLI_346,Cadeira Escritório,Casa,2003.76,2,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10179,2025-10-06 17:19:00,CLI_905,Luminária,Casa,3459.34,5,Salvador/BA/Brasil,Cartão de Crédito,Cancelado
TX_10180,2025-07-11 08:39:00,CLI_865,Ficção Científica,Livros,71.6,1,Curitiba/PR/Brasil,Pix,Concluído
TX_10181,2025-01-23 12:01:00,CLI_659,Fone de Ouvido,Eletrônicos,1194.84,2,Rio de Janeiro/RJ/Brasil,Boleto Bancário,Cancelado
TX_10182,2025-02-02 15:37:00,CLI_137,Biografia,Livros,1037.65,1,Rio de Janeiro/RJ/Brasil,Cartão de Crédito,Concluído
TX_10183,2025-07-23 18:32:00,CLI_584,Cafeteira,Casa,897.8,2,Salvador/BA/Brasil,Pix,Concluído
TX_10184,2025-03-05 12:33:00,CLI_547,Fone de Ouvido,Eletrônicos,3114.86,4,Bom Despacho/MG/Brasil,Pix,Concluído
TX_10185,2025-07-08 17:43:00,CLI_373,Jaqueta,Vestuário,2807.0,4,Curitiba/PR/Brasil,Cartão de Crédito,Cancelado
TX_10186,2025-02-22 02:43:00,CLI_435,Tênis,Vestuário,2318.3,3,Bom Despacho/MG/Brasil,Pix,Em Processamento
TX_10187,2025-06-29 15:15:00,CLI_143,Biografia,Livros,2547.95,3,Curitiba/PR/Brasil,Boleto Bancário,Cancelado
TX_10188,2025-12-10 21:45:00,CLI_515,Luminária,Casa,1281.14,2,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10189,2025-02-04 08:03:00,CLI_897,Ficção Científica,Livros,2263.39,3,Rio de Janeiro/RJ/Brasil,Pix,Em Processamento
